DATETIME,ABS_UNITS,CONC_UNITS,NAME,standard solutions,dilution factor,TrueC,CONCENTRATION ACTUAL,DF,ASSAY,REPLICATE,ABSORBANCE,ABS_MEAN,ABS_CV,CONCENTRATION,FLAG,CONC_MEAN,CONC_CV,INTERPRETATION
7/15/16 14:17,Abs,ug/L,0.15  1:2.0,0.15,2,0.075,0.075,1,Microcystins ADDA OH,1,1.938,1.9225,1.1,0.06,   ,0.067,13.8,Low
7/15/16 14:17,Abs,ug/L,0.15  1:2.0,0.15,2,0.075,0.075,1,Microcystins ADDA OH,2,1.907,1.9225,1.1,0.073,   ,0.067,13.8,Low
7/15/16 14:17,Abs,ug/L,0.15  1:2.5,0.15,2.5,0.06,0.06,1,Microcystins ADDA OH,1,1.949,2.03,5.6,0.056,   ,0.028,110,Low
7/15/16 14:17,Abs,ug/L,0.15  1:2.5,0.15,2.5,0.06,0.06,1,Microcystins ADDA OH,2,2.111,2.03,5.6,0.007,   ,0.028,110,Low
7/15/16 14:17,Abs,ug/L,0.15  1:3.0,0.15,3,0.05,0.05,1,Microcystins ADDA OH,1,1.959,1.979,1.4,0.052,   ,0.045,22,Low
7/15/16 14:17,Abs,ug/L,0.15  1:3.0,0.15,3,0.05,0.05,1,Microcystins ADDA OH,2,1.999,1.979,1.4,0.038,   ,0.045,22,Low
7/15/16 14:17,Abs,ug/L,0.15  1:3.5,0.15,3.5,0.042857143,0.043,1,Microcystins ADDA OH,1,2.006,1.921,6.3,0.035,   ,0.067,72.2,Low
7/15/16 14:17,Abs,ug/L,0.15  1:3.5,0.15,3.5,0.042857143,0.043,1,Microcystins ADDA OH,2,1.836,1.921,6.3,0.108,   ,0.067,72.2,Low
7/15/16 14:17,Abs,ug/L,0.15  1:4.0,0.15,4,0.0375,0.0375,1,Microcystins ADDA OH,1,2.169,2.1385,2,0,Out(LR),0.003,   ,Low
7/15/16 14:17,Abs,ug/L,0.15  1:4.0,0.15,4,0.0375,0.0375,1,Microcystins ADDA OH,2,2.108,2.1385,2,0.008,   ,0.003,   ,Low
7/15/16 14:17,Abs,ug/L,0.40  1:1.5,0.4,1.5,0.266666667,0.267,1,Microcystins ADDA OH,1,1.651,1.6645,1.1,0.23,   ,0.219,6.8,Low
7/15/16 14:17,Abs,ug/L,0.40  1:1.5,0.4,1.5,0.266666667,0.267,1,Microcystins ADDA OH,2,1.678,1.6645,1.1,0.209,   ,0.219,6.8,Low
7/15/16 14:17,Abs,ug/L,0.40  1:2.0,0.4,2,0.2,0.2,1,Microcystins ADDA OH,1,1.812,1.7215,7.4,0.121,   ,0.177,48.2,Low
7/15/16 14:17,Abs,ug/L,0.40  1:2.0,0.4,2,0.2,0.2,1,Microcystins ADDA OH,2,1.631,1.7215,7.4,0.246,   ,0.177,48.2,Low
7/15/16 14:17,Abs,ug/L,0.40  1:2.5,0.4,2.5,0.16,0.16,1,Microcystins ADDA OH,1,1.706,1.7205,1.2,0.188,   ,0.178,7.9,Low
7/15/16 14:17,Abs,ug/L,0.40  1:2.5,0.4,2.5,0.16,0.16,1,Microcystins ADDA OH,2,1.735,1.7205,1.2,0.168,   ,0.178,7.9,Low
7/15/16 14:17,Abs,ug/L,0.40  1:3.0,0.4,3,0.133333333,0.13,1,Microcystins ADDA OH,1,1.852,1.81,3.3,0.1,   ,0.122,26.9,Low
7/15/16 14:17,Abs,ug/L,0.40  1:3.0,0.4,3,0.133333333,0.13,1,Microcystins ADDA OH,2,1.768,1.81,3.3,0.147,   ,0.122,26.9,Low
7/15/16 14:17,Abs,ug/L,0.40  1:3.5,0.4,3.5,0.114285714,0.114,1,Microcystins ADDA OH,1,1.904,1.797,8.4,0.075,   ,0.13,64.3,Low
7/15/16 14:17,Abs,ug/L,0.40  1:3.5,0.4,3.5,0.114285714,0.114,1,Microcystins ADDA OH,2,1.69,1.797,8.4,0.2,   ,0.13,64.3,Low
7/15/16 14:17,Abs,ug/L,0.40  1:4.0,0.4,4,0.1,0.1,1,Microcystins ADDA OH,1,1.954,1.82,10.4,0.054,   ,0.116,82,Low
7/15/16 14:17,Abs,ug/L,0.40  1:4.0,0.4,4,0.1,0.1,1,Microcystins ADDA OH,2,1.686,1.82,10.4,0.203,   ,0.116,82,Low
7/15/16 14:17,Abs,ug/L,0,0,1,0,0,1,Microcystins ADDA OH,1,1.928,1.9335,0.4,0.064,   ,0.062,4.6,Low
7/15/16 14:17,Abs,ug/L,0,0,1,0,0,1,Microcystins ADDA OH,2,1.939,1.9335,0.4,0.06,   ,0.062,4.6,Low
7/15/16 14:17,Abs,ug/L,1.00  1:1.5,1,1.5,0.666666667,0.667,1,Microcystins ADDA OH,1,1.456,1.392,6.5,0.424,   ,0.508,24.8,   
7/15/16 14:17,Abs,ug/L,1.00  1:1.5,1,1.5,0.666666667,0.667,1,Microcystins ADDA OH,2,1.328,1.392,6.5,0.604,   ,0.508,24.8,   
7/15/16 14:17,Abs,ug/L,1.00  1:2.0,1,2,0.5,0.5,1,Microcystins ADDA OH,1,1.317,1.307,1.1,0.622,   ,0.639,3.8,   
7/15/16 14:17,Abs,ug/L,1.00  1:2.0,1,2,0.5,0.5,1,Microcystins ADDA OH,2,1.297,1.307,1.1,0.656,   ,0.639,3.8,   
7/15/16 14:17,Abs,ug/L,1.00  1:2.5,1,2.5,0.4,0.4,1,Microcystins ADDA OH,1,1.401,1.3405,6.4,0.495,   ,0.585,22.9,   
7/15/16 14:17,Abs,ug/L,1.00  1:2.5,1,2.5,0.4,0.4,1,Microcystins ADDA OH,2,1.28,1.3405,6.4,0.686,   ,0.585,22.9,   
7/15/16 14:17,Abs,ug/L,1.00  1:3.0,1,3,0.333333333,0.33,1,Microcystins ADDA OH,1,1.363,1.389,2.6,0.55,   ,0.512,10.1,   
7/15/16 14:17,Abs,ug/L,1.00  1:3.0,1,3,0.333333333,0.33,1,Microcystins ADDA OH,2,1.415,1.389,2.6,0.477,   ,0.512,10.1,   
7/15/16 14:17,Abs,ug/L,1.00  1:3.5,1,3.5,0.285714286,0.286,1,Microcystins ADDA OH,1,1.718,1.6925,2.1,0.18,   ,0.198,13.2,Low
7/15/16 14:17,Abs,ug/L,1.00  1:3.5,1,3.5,0.285714286,0.286,1,Microcystins ADDA OH,2,1.667,1.6925,2.1,0.217,   ,0.198,13.2,Low
7/15/16 14:17,Abs,ug/L,1.00  1:4.0,1,4,0.25,0.25,1,Microcystins ADDA OH,1,1.535,1.543,0.7,0.336,   ,0.328,3.4,   
7/15/16 14:17,Abs,ug/L,1.00  1:4.0,1,4,0.25,0.25,1,Microcystins ADDA OH,2,1.551,1.543,0.7,0.32,   ,0.328,3.4,   
7/15/16 14:17,Abs,ug/L,2.00  1:1.5,2,1.5,1.333333333,1.33,1,Microcystins ADDA OH,1,0.922,0.86,10.2,1.713,   ,2.014,23,   
7/15/16 14:17,Abs,ug/L,2.00  1:1.5,2,1.5,1.333333333,1.33,1,Microcystins ADDA OH,2,0.798,0.86,10.2,2.378,   ,2.014,23,   
7/15/16 14:17,Abs,ug/L,2.00  1:2.0,2,2,1,1,1,Microcystins ADDA OH,1,1.117,1.057,8,1.043,   ,1.214,21.3,   
7/15/16 14:17,Abs,ug/L,2.00  1:2.0,2,2,1,1,1,Microcystins ADDA OH,2,0.997,1.057,8,1.413,   ,1.214,21.3,   
7/15/16 14:17,Abs,ug/L,2.00  1:2.5,2,2.5,0.8,0.8,1,Microcystins ADDA OH,1,1.411,1.357,5.6,0.482,   ,0.559,20.6,   
7/15/16 14:17,Abs,ug/L,2.00  1:2.5,2,2.5,0.8,0.8,1,Microcystins ADDA OH,2,1.303,1.357,5.6,0.646,   ,0.559,20.6,   
7/15/16 14:17,Abs,ug/L,2.00  1:3.0,2,3,0.666666667,0.667,1,Microcystins ADDA OH,1,1.172,1.2265,6.3,0.906,   ,0.788,19.7,   
7/15/16 14:17,Abs,ug/L,2.00  1:3.0,2,3,0.666666667,0.667,1,Microcystins ADDA OH,2,1.281,1.2265,6.3,0.684,   ,0.788,19.7,   
7/15/16 14:17,Abs,ug/L,2.00  1:3.5,2,3.5,0.571428571,0.571428571,1,Microcystins ADDA OH,1,1.28,1.2595,2.3,0.686,   ,0.724,7.5,   
7/15/16 14:17,Abs,ug/L,2.00  1:3.5,2,3.5,0.571428571,0.571428571,1,Microcystins ADDA OH,2,1.239,1.2595,2.3,0.763,   ,0.724,7.5,   
7/15/16 14:17,Abs,ug/L,2.00  1:4.0,2,4,0.5,0.5,1,Microcystins ADDA OH,1,1.447,1.513,6.2,0.435,   ,0.359,27.8,Low
7/15/16 14:17,Abs,ug/L,2.00  1:4.0,2,4,0.5,0.5,1,Microcystins ADDA OH,2,1.579,1.513,6.2,0.292,   ,0.359,27.8,Low
7/15/16 14:17,Abs,ug/L,5.00  1:1.5,5,1.5,3.333333333,3.333333333,1,Microcystins ADDA OH,1,0.821,0.776,8.2,2.234,   ,2.525,17.5,   
7/15/16 14:17,Abs,ug/L,5.00  1:1.5,5,1.5,3.333333333,3.333333333,1,Microcystins ADDA OH,2,0.731,0.776,8.2,2.864,   ,2.525,17.5,   
7/15/16 14:17,Abs,ug/L,5.00  1:2.0,5,2,2.5,2.5,1,Microcystins ADDA OH,1,0.838,0.8215,2.8,2.135,   ,2.231,6.3,   
7/15/16 14:17,Abs,ug/L,5.00  1:2.0,5,2,2.5,2.5,1,Microcystins ADDA OH,2,0.805,0.8215,2.8,2.333,   ,2.231,6.3,   
7/15/16 14:17,Abs,ug/L,5.00  1:2.5,5,2.5,2,2,1,Microcystins ADDA OH,1,0.85,0.8135,6.3,2.068,   ,2.28,13.9,   
7/15/16 14:17,Abs,ug/L,5.00  1:2.5,5,2.5,2,2,1,Microcystins ADDA OH,2,0.777,0.8135,6.3,2.519,   ,2.28,13.9,   
7/15/16 14:17,Abs,ug/L,5.00  1:3.0,5,3,1.666666667,1.667,1,Microcystins ADDA OH,1,0.922,0.8935,4.5,1.713,   ,1.844,10.5,   
7/15/16 14:17,Abs,ug/L,5.00  1:3.0,5,3,1.666666667,1.667,1,Microcystins ADDA OH,2,0.865,0.8935,4.5,1.987,   ,1.844,10.5,   
7/15/16 14:17,Abs,ug/L,0.75  1:2.0,0.75,2,0.375,0.375,1,Microcystins ADDA OH,1,1.652,1.6535,0.1,0.229,   ,0.228,0.6,Low
7/15/16 14:17,Abs,ug/L,0.75  1:2.0,0.75,2,0.375,0.375,1,Microcystins ADDA OH,2,1.655,1.6535,0.1,0.227,   ,0.228,0.6,Low
7/15/16 14:17,Abs,ug/L,0.75  1:2.5,0.75,2.5,0.3,0.3,1,Microcystins ADDA OH,1,1.806,1.7435,5.1,0.124,   ,0.163,35.5,Low
7/15/16 14:17,Abs,ug/L,0.75  1:2.5,0.75,2.5,0.3,0.3,1,Microcystins ADDA OH,2,1.681,1.7435,5.1,0.207,   ,0.163,35.5,Low
7/15/16 14:17,Abs,ug/L,0.75  1:3.0,0.75,3,0.25,0.25,1,Microcystins ADDA OH,1,1.7,1.678,1.9,0.193,   ,0.209,11.1,Low
7/15/16 14:17,Abs,ug/L,0.75  1:3.0,0.75,3,0.25,0.25,1,Microcystins ADDA OH,2,1.656,1.678,1.9,0.226,   ,0.209,11.1,Low
7/15/16 14:17,Abs,ug/L,0.75  1:3.5,0.75,3.5,0.214285714,0.214285714,1,Microcystins ADDA OH,1,1.649,1.705,4.6,0.232,   ,0.189,29.9,Low
7/15/16 14:17,Abs,ug/L,0.75  1:3.5,0.75,3.5,0.214285714,0.214285714,1,Microcystins ADDA OH,2,1.761,1.705,4.6,0.151,   ,0.189,29.9,Low
7/15/16 14:17,Abs,ug/L,5.00  1:3.5,5,3.5,1.428571429,1.428571429,1,Microcystins ADDA OH,1,1.154,1.135,2.4,0.949,   ,0.996,6.8,   
7/15/16 14:17,Abs,ug/L,5.00  1:3.5,5,3.5,1.428571429,1.428571429,1,Microcystins ADDA OH,2,1.116,1.135,2.4,1.045,   ,0.996,6.8,   
7/15/16 14:17,Abs,ug/L,5.00  1:4.0,5,4,1.25,1.25,1,Microcystins ADDA OH,1,1.169,1.1375,3.9,0.914,   ,0.989,11.2,   
7/15/16 14:17,Abs,ug/L,5.00  1:4.0,5,4,1.25,1.25,1,Microcystins ADDA OH,2,1.106,1.1375,3.9,1.071,   ,0.989,11.2,   
7/15/16 14:17,Abs,ug/L,0,0,1,0,0,1,Microcystins ADDA OH,1,2.209,2.128,5.4,0,Out(LR),0.004,   ,Low
7/15/16 14:17,Abs,ug/L,0,0,1,0,0,1,Microcystins ADDA OH,2,2.047,2.128,5.4,0.023,   ,0.004,   ,Low
7/15/16 14:17,Abs,ug/L,0.75  1:1.5,0.75,1.5,0.5,0.5,1,Microcystins ADDA OH,1,1.454,1.4845,2.9,0.427,   ,0.391,12.6,   
7/15/16 14:17,Abs,ug/L,0.75  1:1.5,0.75,1.5,0.5,0.5,1,Microcystins ADDA OH,2,1.515,1.4845,2.9,0.357,   ,0.391,12.6,   
7/15/16 14:17,Abs,ug/L,0.75  1:4.0,0.75,4,0.1875,0.1875,1,Microcystins ADDA OH,1,1.758,1.757,0.1,0.153,   ,0.154,0.5,Low
7/15/16 14:17,Abs,ug/L,0.75  1:4.0,0.75,4,0.1875,0.1875,1,Microcystins ADDA OH,2,1.756,1.757,0.1,0.154,   ,0.154,0.5,Low
7/15/16 14:17,Abs,ug/L,S   9 28 15,,1, ,,1,Microcystins ADDA OH,1,0.965,0.942,3.5,1.533,   ,1.627,8.4,   
7/15/16 14:17,Abs,ug/L,S   9 28 15,,1, ,,1,Microcystins ADDA OH,2,0.919,0.942,3.5,1.726,   ,1.627,8.4,   
7/15/16 14:17,Abs,ug/L,S  9 28 15  1:2,,2, ,,1,Microcystins ADDA OH,1,1.316,1.372,5.8,0.624,   ,0.537,21.4,   
7/15/16 14:17,Abs,ug/L,S  9 28 15  1:2,,2, ,,1,Microcystins ADDA OH,2,1.428,1.372,5.8,0.46,   ,0.537,21.4,   
7/15/16 14:17,Abs,ug/L,S  9 28 15  1:3,,3, ,,1,Microcystins ADDA OH,1,1.496,1.4945,0.1,0.378,   ,0.379,0.6,   
7/15/16 14:17,Abs,ug/L,S  9 28 15  1:3,,3, ,,1,Microcystins ADDA OH,2,1.493,1.4945,0.1,0.381,   ,0.379,0.6,   
